"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002831","regulation of response to biotic stimulus",271,0.380088805823574,1.7226003666078,5.73637044428842e-06,0.000647366276315725,0.000576833783376123,793,"tags=23%, list=15%, signal=20%","115362/710/6279/2634/6772/6280/10622/26253/9447/6714/114769/653361/3430/83666/92610/342510/9636/57590/5359/3105/3659/3106/9111/58484/2219/55122/10906/3133/80216/4332/654/351/6773/4938/5371/54502/80212/11213/84243/91543/151636/3916/10875/4940/7706/25921/6352/64581/84166/3665/1374/7096/7099/57142/834/10346/6737/7040/22978/10666/3428"
"GO:0042274","ribosomal small subunit biogenesis",48,-0.570387828325132,-2.16516349080908,6.66518983129153e-06,0.000730695239504731,0.000651083806677741,1759,"tags=71%, list=32%, signal=48%","26574/30836/51077/65095/51602/10528/88745/8602/23160/57050/64434/8780/153443/25879/84946/27340/55226/11103/79954/51504/5591/4869/9277/6838/57647/161424/25926/9790/10199/10885/55720/5394/25983/2091"
"GO:0030217","T cell differentiation",151,-0.389676870319655,-1.81491441998287,8.00268611850722e-06,0.000852952962130895,0.000760021184588054,931,"tags=30%, list=17%, signal=26%","5591/5771/7157/6598/4775/596/4297/6647/55636/3122/10524/30009/5295/1499/6775/27086/114548/25/84766/1540/114836/6602/84433/4976/7001/678/3662/399/22806/10892/6095/3932/3707/9840/2309/3956/7535/10125/6935/3702/914/64919/6932/51176/916/3575"
"GO:0042113","B cell activation",141,-0.400192659325501,-1.84344734715167,8.49468189922919e-06,0.000880921471549795,0.000784942441214692,931,"tags=31%, list=17%, signal=27%","5591/5771/7157/4773/55619/7037/596/6929/2874/56941/3398/359948/9734/30009/5295/7163/25/23228/1540/84433/11331/64421/678/472/23075/55024/3507/22806/10892/202309/196/3394/374403/3956/7535/10125/5079/115352/933/29760/931/23495/51176/3575"
"GO:0019730","antimicrobial humoral response",32,0.658578225733815,2.08281079015705,1.07551878914678e-05,0.00108599094577795,0.00096766898258968,875,"tags=66%, list=16%, signal=55%","6280/6283/3105/8970/3133/8349/8339/351/3512/602/5196/6352/3500/8346/5197/4069/2597/3151/85236/567/8344"
"GO:0046629","gamma-delta T cell activation",12,-0.828847125181521,-2.19997545562096,1.16130273445346e-05,0.00114254322874306,0.00101805972510252,177,"tags=42%, list=3%, signal=40%","919/3702/6932/51176/916"
"GO:0032103","positive regulation of response to external stimulus",284,0.373294205391605,1.70219203218737,1.19647413588332e-05,0.00114771781484607,0.00102267052456553,793,"tags=24%, list=15%, signal=21%","4317/115362/2633/6279/2634/6280/6283/10622/26253/9447/6714/3430/83666/92610/57590/5359/3315/3659/9111/58484/2219/837/2635/55122/3133/80216/4332/196527/3572/654/351/64805/3480/4938/23765/54502/11213/84243/90550/91543/3916/4940/836/7706/120892/11315/25921/6809/6352/64581/7292/10059/84166/3665/79792/1374/5795/7096/5747/7099/57142/834/7057/7040/1326/10666/3428"
"GO:0007229","integrin-mediated signaling pathway",49,0.592174095835499,2.04704051400256,1.42507628203051e-05,0.00133366285223197,0.0011883562937189,980,"tags=43%, list=18%, signal=35%","2530/4811/6714/3674/9636/3690/80739/2533/3693/3688/3684/83706/7006/8754/967/7791/5747/7094/3987/3611/5341"
"GO:0010543","regulation of platelet activation",28,0.67984719782482,2.08843688821215,1.50876754818565e-05,0.00137836692437818,0.00122818972343534,1156,"tags=68%, list=21%, signal=54%","5321/375033/5154/3572/2207/3717/5592/6403/2815/22915/7006/5795/239/5580/7099/51206/5341/5588/4067"
"GO:1902105","regulation of leukocyte differentiation",155,-0.375855801757892,-1.76474101573835,1.6778688337254e-05,0.00149720528255916,0.00133408028688864,931,"tags=28%, list=17%, signal=24%","5591/5771/5530/6598/3297/4609/1385/54997/6647/3122/10524/3398/30009/5295/1499/27086/114548/25/1540/6602/84433/4976/7001/8451/678/3662/399/22806/10892/10193/3707/9840/2309/3956/7535/10125/6935/914/115352/25793/399665/6932/51176/3575"
"GO:0061041","regulation of wound healing",47,0.59641506445933,2.04333885665577,2.38785698762609e-05,0.00204137940342612,0.00181896500893737,772,"tags=40%, list=14%, signal=35%","710/10855/6915/5154/196527/5592/3688/2039/2149/5196/22915/64581/4638/7035/5747/239/5580/7057/7494"
"GO:0002521","leukocyte differentiation",286,-0.317631647291999,-1.62226983831972,2.39411188830272e-05,0.00204137940342612,0.00181896500893737,937,"tags=27%, list=17%, signal=23%","1050/5591/5771/7157/5530/6598/4775/55619/7037/596/3297/4609/6929/2874/4297/1385/54997/6647/55636/3122/10524/3398/359948/9734/30009/5295/1499/6775/7163/27086/114548/25/23228/84766/1540/10320/142/114836/6602/84433/4976/7001/64421/8451/678/3662/399/472/3507/22806/10892/6095/3932/10193/3707/9840/3394/2309/3956/7535/23411/10125/6935/3702/5079/914/64919/115352/25793/29760/931/399665/6932/51176/916/3575"
"GO:0071346","cellular response to type II interferon",55,0.561095821450623,1.96979339841616,2.74265773805805e-05,0.00219680808064701,0.0019574592666808,721,"tags=31%, list=13%, signal=27%","115362/2633/115361/2634/6772/83666/3659/2635/3717/9341/6352/3459/84166/7791/2597/7099/834"
"GO:0050727","regulation of inflammatory response",148,0.435846778346484,1.8339488487098,2.83440434149584e-05,0.00219680808064701,0.0019574592666808,795,"tags=29%, list=15%, signal=25%","4317/115362/2633/6279/2634/6280/6283/9021/9447/6714/114769/653361/3430/9111/58484/837/2635/3133/3572/22904/351/23765/3717/3554/1432/6774/79651/836/120892/11315/25921/6352/7292/2778/8530/79792/5580/7099/834/7040/1326/7525/5045"
"GO:0019221","cytokine-mediated signaling pathway",199,0.405361558600909,1.76965427276447,2.83719947133933e-05,0.00219680808064701,0.0019574592666808,613,"tags=22%, list=11%, signal=20%","4317/10410/6772/9021/11240/10673/10554/9447/3429/6714/114769/7444/83666/92610/9636/1439/3659/837/100133941/8970/3572/8519/2207/6773/4938/23765/3717/54502/11213/3554/6774/4940/10581/5196/4939/6352/3459/79602/3579/5197/84166/3665/5795/2180"
"GO:0031349","positive regulation of defense response",236,0.386720434529509,1.72326769519325,2.86266364431459e-05,0.00219680808064701,0.0019574592666808,793,"tags=24%, list=15%, signal=21%","4317/115362/2633/6279/2634/6280/6283/10622/26253/9447/6714/3430/83666/92610/57590/5359/3659/9111/58484/2219/837/2635/55122/3133/80216/4332/3572/351/4938/23765/54502/11213/84243/91543/3916/4940/836/7706/120892/11315/25921/6352/64581/7292/84166/3665/79792/1374/7096/7099/57142/834/7040/1326/10666/3428"
"GO:0016071","mRNA metabolic process",453,-0.280944637540919,-1.50495483495587,2.78712656268831e-05,0.00219680808064701,0.0019574592666808,1964,"tags=47%, list=36%, signal=33%","10929/11051/55147/10907/55082/5976/9406/25949/23293/79882/10180/9295/4116/10921/131870/220988/56829/22890/2107/10236/5566/9416/83860/10421/8732/79811/51341/8106/9343/8899/11129/149986/54888/6050/6741/79048/22803/9785/22794/708/10992/51503/5725/1659/11044/55677/26058/328/23019/8683/6430/5914/5469/7375/64332/54890/26523/4670/23759/23451/9967/1655/5411/25962/11325/11168/96764/10865/23524/65110/129685/8731/27339/10284/9879/6635/1665/55131/23248/22927/51574/2521/7431/6632/6433/23112/27044/984/51593/23398/9698/11338/3312/51692/728/10291/8563/8882/79066/63935/3184/23283/55339/192669/10250/170506/29890/302/1660/4850/3192/55802/23318/57680/51428/6281/10772/1653/23369/84991/9410/23076/23049/87178/255967/115752/3550/6651/22882/4686/55095/4691/3191/7157/9530/4869/11052/3297/10949/8148/84081/23450/55544/58517/10594/6626/285672/1385/26121/79171/2935/51585/3178/3187/57805/85437/6733/26834/3609/64783/6629/6634/84950/51441/9775/123169/9641/22889/5978/57794/221092/7832/55629/3958/1025/84148/24148/23644/9733/57721/55119/83448/23020/143884/79872/25804/56949/6256/79753/10492/10957/22916/79869/91746/26832/104/1153/51759/678/9337/7067/472/10212/8161/5394/22827/26831/84811/6633/2034/58509/116461/7188/54855"
"GO:0035456","response to interferon-beta",22,0.718209075143331,2.07162855953808,3.4106594868922e-05,0.00256601969631478,0.00228644417201772,448,"tags=45%, list=8%, signal=42%","10410/6772/9447/5359/54739/3659/4332/8519/4938/10581"
"GO:1903034","regulation of response to wounding",62,0.531628130509875,1.92098495071728,3.75456005817802e-05,0.00277043210446713,0.00246858523663203,772,"tags=35%, list=14%, signal=31%","710/10855/6915/5154/196527/3480/29956/5592/3688/6774/2039/2149/5196/22915/64581/4638/7035/5747/239/5580/7057/7494"
"GO:0006836","neurotransmitter transport",52,0.564021162870643,1.96437887418138,3.84734387593249e-05,0.00278533178338735,0.0024818615509491,702,"tags=40%, list=13%, signal=35%","26509/8291/25953/3690/10497/3382/8676/7439/351/8775/84446/3688/5663/120892/11315/6809/8773/9885/23396/79772/134957"
"GO:0050818","regulation of coagulation",26,0.677168652981936,2.04823432030583,4.29163506743069e-05,0.00304944513957992,0.00271719896666957,750,"tags=50%, list=14%, signal=43%","710/10855/6915/5154/196527/5592/2149/5663/5196/7035/239/5580/7057"
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",202,-0.34179249233389,-1.67105432036991,4.50996616838539e-05,0.00309013217644549,0.0027534530291195,1964,"tags=52%, list=36%, signal=35%","10929/55147/10907/55082/5976/25949/10180/4116/10921/220988/10236/9416/10421/51341/9343/8899/9785/22794/708/10992/51503/5725/1659/8683/6430/7375/4670/23451/9967/1655/5411/11325/11168/96764/23524/65110/27339/10284/9879/6635/1665/51574/6632/6433/23398/11338/3312/10291/79066/10250/29890/1660/3192/51428/10772/1653/84991/9410/3550/6651/4686/4691/3191/84081/23450/58517/10594/6626/26121/79171/3178/3187/85437/6733/26834/3609/64783/6629/6634/84950/9775/22889/5978/221092/24148/9733/57721/23020/143884/25804/56949/79753/10492/22916/91746/26832/1153/51759/10212/8161/5394/22827/26831/84811/6633/58509"
"GO:0000398","mRNA splicing, via spliceosome",202,-0.34179249233389,-1.67105432036991,4.50996616838539e-05,0.00309013217644549,0.0027534530291195,1964,"tags=52%, list=36%, signal=35%","10929/55147/10907/55082/5976/25949/10180/4116/10921/220988/10236/9416/10421/51341/9343/8899/9785/22794/708/10992/51503/5725/1659/8683/6430/7375/4670/23451/9967/1655/5411/11325/11168/96764/23524/65110/27339/10284/9879/6635/1665/51574/6632/6433/23398/11338/3312/10291/79066/10250/29890/1660/3192/51428/10772/1653/84991/9410/3550/6651/4686/4691/3191/84081/23450/58517/10594/6626/26121/79171/3178/3187/85437/6733/26834/3609/64783/6629/6634/84950/9775/22889/5978/221092/24148/9733/57721/23020/143884/25804/56949/79753/10492/22916/91746/26832/1153/51759/10212/8161/5394/22827/26831/84811/6633/58509"
"GO:0045088","regulation of innate immune response",233,0.378906534044618,1.68495857650289,4.65036250988136e-05,0.00313042823691487,0.00278935871322154,793,"tags=22%, list=15%, signal=20%","115362/710/6279/2634/6280/10622/26253/9447/6714/653361/3430/83666/92610/342510/9636/57590/5359/3105/3659/3106/9111/58484/2219/55122/10906/3133/80216/4332/351/6773/4938/54502/11213/84243/91543/3916/4940/7706/25921/6352/64581/84166/3665/1374/7096/7099/57142/834/6737/7040/10666/3428"
"GO:0050853","B cell receptor signaling pathway",49,-0.52304103315622,-1.98996064357062,4.79084378493086e-05,0.0031693909659965,0.0028240763363803,890,"tags=41%, list=16%, signal=34%","4773/596/2874/59338/27086/25/23228/4790/55024/3507/5583/3932/3702/115352/933/9214/29760/931/640/3495"
"GO:0030193","regulation of blood coagulation",23,0.70251901941903,2.06726146447242,5.29052277577297e-05,0.00332782555584277,0.00296524900357387,750,"tags=52%, list=14%, signal=45%","710/10855/6915/5154/196527/5592/2149/5196/7035/239/5580/7057"
"GO:1900046","regulation of hemostasis",23,0.70251901941903,2.06726146447242,5.29052277577297e-05,0.00332782555584277,0.00296524900357387,750,"tags=52%, list=14%, signal=45%","710/10855/6915/5154/196527/5592/2149/5196/7035/239/5580/7057"
"GO:0001906","cell killing",81,0.499000025907629,1.89130243184721,5.12741945107173e-05,0.00332782555584277,0.00296524900357387,833,"tags=36%, list=15%, signal=31%","115362/2633/2215/2634/6283/57823/3105/3106/2635/8970/3133/2212/2214/3107/10383/3916/3684/5196/3500/64581/4069/2597/55207/3151/7040/85236/10666/567/127544"
"GO:0006959","humoral immune response",64,0.531793623123306,1.92465531267718,5.52257239177353e-05,0.00341775972052178,0.00304538457189821,875,"tags=44%, list=16%, signal=37%","710/713/712/6280/6283/1191/3105/2219/2821/8970/3133/8349/8339/351/3512/602/5196/6352/3500/8346/5197/4069/2597/3151/85236/567/4179/8344"
"GO:0045580","regulation of T cell differentiation",93,-0.431048912973682,-1.85812997266312,5.73289989257512e-05,0.00349160902981123,0.00311118777795889,717,"tags=27%, list=13%, signal=24%","6647/3122/10524/30009/114548/25/1540/6602/84433/4976/7001/3662/399/10892/3707/9840/2309/3956/7535/10125/6935/914/6932/51176/3575"
"GO:0051249","regulation of lymphocyte activation",238,-0.322648161207296,-1.61084802630865,6.03024309669448e-05,0.00361531918156511,0.00322141933849731,728,"tags=21%, list=13%, signal=19%","5290/6647/7133/56941/3122/10524/3398/30009/1499/114548/3958/25/3119/1540/6602/84433/4976/7001/678/3662/3117/399/472/63925/55024/22806/10892/23149/868/3932/10193/196/3707/9840/374403/2309/3956/7535/10125/6935/914/115352/933/25793/3481/6932/23495/51176/916/3575"
"GO:0070527","platelet aggregation",44,0.579899348727517,1.94463589777499,6.46142050812237e-05,0.00381422622917932,0.00339865486807797,1199,"tags=57%, list=22%, signal=45%","10398/3690/3315/7414/375033/3572/64805/3717/5592/5291/22915/83706/2778/239/7094/5580/60/2923/51206/3611/5341/81027/5588/4067/1192"
"GO:0030097","hemopoiesis",461,-0.273962099993516,-1.46583333757375,7.59704682865994e-05,0.00441664676993457,0.00393543988827551,948,"tags=25%, list=17%, signal=22%","51522/10296/1050/9739/5591/5771/7157/5530/6598/4775/6521/55619/7037/4094/65018/8367/596/3297/4609/6929/51621/2874/4297/1385/54997/6647/55636/9258/3122/10524/64783/5134/3398/2551/359948/9734/30009/51441/123169/5295/5978/1499/6775/7163/27086/114548/25/23228/55646/3276/84148/9733/4643/84766/1540/10320/57721/142/114836/6602/84433/4976/23094/7001/2113/64421/8451/119/23522/10365/678/3662/399/7067/472/3507/22806/10892/23774/669/2034/6095/3932/10193/3707/9840/80169/3394/2309/3956/7535/51218/947/116151/23411/10125/6935/3702/5079/914/64919/115352/25793/29760/931/2235/57095/399665/6932/23495/51176/916/3575"
"GO:0001819","positive regulation of cytokine production",222,0.385907486116855,1.70316408240827,8.19705150677098e-05,0.00469434128828064,0.00418287875789351,880,"tags=32%, list=16%, signal=28%","4317/115362/6772/10855/10622/6398/10554/26253/9447/1191/6714/84632/9636/3105/3315/3659/58484/2219/55122/24145/3133/3572/351/2212/2207/2214/11118/4938/23765/3717/54502/11213/3554/91543/1432/6774/602/4940/3098/2149/5663/11119/5196/4939/120892/11315/64581/7292/3459/3665/79792/5795/7096/2597/150372/7099/51043/468/57142/834/4860/7057/7040/7494/10666/3428/567/4179/5610/3091/10211"
"GO:0000122","negative regulation of transcription by RNA polymerase II",398,-0.280197687084219,-1.47940395317411,0.000111095508481151,0.00626872744179671,0.0055857308288975,1446,"tags=36%, list=27%, signal=29%","56257/6944/4089/55364/51574/5926/168451/54107/4781/5245/57215/57459/23741/79618/5927/51684/58516/5814/6670/7091/6597/25942/10919/2908/864/9112/4261/7428/7175/3192/4088/81857/8462/4999/57680/1822/3008/23309/10664/9646/112939/4335/25959/9975/6304/80314/4090/49854/22882/1107/1050/8725/6829/5771/7157/221937/3727/56957/4775/4773/4779/10628/4094/57649/3297/4609/6929/2145/2874/8863/25937/9817/64750/166/23468/57466/10524/3398/2551/359948/9734/30009/79813/51523/5978/1499/5813/2005/27086/7832/55646/4666/7767/8850/4790/8535/3007/8864/142/79595/463/10155/57727/274/25855/84525/6256/10608/9079/155061/8553/7975/7227/6497/8841/10365/7430/7644/29997/7067/4601/4194/26137/22797/3725/6622/84678/595/10174/3394/255877/53335/221895/2309/2308/11278/23492/23411/6935/5079/167465/60468/3481/51176"
"GO:0034097","response to cytokine",390,0.328487907074578,1.53021367750133,0.000116117610342717,0.00645714885340587,0.00575362316389237,894,"tags=23%, list=16%, signal=20%","4317/115362/2633/115361/10410/2634/6772/9021/11240/10673/4502/10554/9447/3429/6714/114769/7444/83666/92610/249/9636/29887/5359/1439/54739/3659/837/2635/100133941/8970/4332/3572/22904/351/8519/2207/6773/2643/4938/23765/5371/3717/54502/4783/11213/3554/6403/1432/6774/4940/10581/9341/836/5196/7706/4939/6352/3459/79602/3579/5197/84166/8754/3665/7791/5795/2180/2597/3718/3434/7099/4605/834/6737/7057/10376/3953/7494/3309/3428/5610/2353/3987/1843/3091/10725/57724/5214"
"GO:0070269","pyroptotic inflammatory response",25,0.670155438981158,1.98596821038662,0.000119821403669158,0.00652131077115153,0.00581079444870587,747,"tags=52%, list=14%, signal=45%","115362/2633/2634/9447/3429/58484/837/2635/836/25921/79792/834/6737"
"GO:0032760","positive regulation of tumor necrosis factor production",51,0.545196149440851,1.88894040214142,0.000120670592846432,0.00652131077115153,0.00581079444870587,760,"tags=43%, list=14%, signal=37%","4317/1191/3315/3133/351/2212/2214/4938/3717/6774/4940/5663/5196/4939/120892/64581/3459/5795/7096/7099/7057/7040"
"GO:0000375","RNA splicing, via transesterification reactions",206,-0.336012756991958,-1.65013088826224,0.000125425762525326,0.00668414792791217,0.00595589000997455,1964,"tags=52%, list=36%, signal=34%","10929/55147/10907/55082/5976/25949/10180/4116/10921/220988/10236/9416/10421/51341/9343/8899/9785/22794/708/10992/51503/5725/1659/8683/6430/7375/4670/23451/9967/1655/5411/11325/11168/96764/23524/65110/27339/10284/9879/6635/1665/51574/6632/6433/23398/11338/3312/10291/79066/10250/29890/1660/3192/51428/10772/1653/84991/9410/3550/6651/4686/4691/3191/84081/23450/58517/10594/6626/26121/79171/3178/3187/85437/6733/26834/3609/64783/6629/6634/84950/9775/22889/5978/221092/24148/9733/57721/23020/143884/25804/56949/79753/10492/10199/22916/91746/26832/1153/51759/10212/8161/5394/22827/26831/84811/6633/58509"
"GO:0032496","response to lipopolysaccharide",136,0.414832202340107,1.72097265377288,0.000127358636731608,0.00669417930327642,0.00596482843697566,849,"tags=26%, list=16%, signal=23%","4317/115362/6279/2634/4353/6915/6714/114769/249/1439/2635/55122/22904/654/2643/3717/11213/840/6403/1432/129607/51510/2149/836/5196/7292/5197/8754/4793/7099/834/2879/7494/567/2353/3032"
"GO:0016485","protein processing",66,0.505139393111346,1.84310841845465,0.000130426207576323,0.00676277511446419,0.00602595052927306,1408,"tags=52%, list=26%, signal=39%","6714/114769/5552/58484/837/5046/64924/840/6687/1889/5663/444/836/835/120892/121665/8754/834/7057/3428/5045/5641/115209/60559/3633/2934/9935/824/28972/2734/5034/102/163859/63901"
"GO:0034109","homotypic cell-cell adhesion",49,0.552593871255295,1.9102187181172,0.000136581835385515,0.00698655853699761,0.0062253520782871,1199,"tags=55%, list=22%, signal=43%","10398/3690/3315/7414/375033/3572/64805/3717/5592/5291/22915/6352/83706/2778/239/7094/5580/60/2923/51206/3611/5341/81027/5962/5588/4067/1192"
"GO:0046631","alpha-beta T cell activation",97,-0.419518457183227,-1.82239730310123,0.000138383750016111,0.00698655853699761,0.0062253520782871,605,"tags=28%, list=11%, signal=25%","30009/6775/27086/114548/3958/25/84766/4818/114836/84433/4976/3662/57705/28639/10892/919/868/6095/3707/3956/7535/3702/64919/28638/51176/28755/916"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production",52,0.540783912198427,1.88344793165746,0.000151905186079979,0.00756961297388155,0.00674488098957993,760,"tags=42%, list=14%, signal=37%","4317/1191/3315/3133/351/2212/2214/4938/3717/6774/4940/5663/5196/4939/120892/64581/3459/5795/7096/7099/7057/7040"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",21,0.697884811109239,1.9877116686806,0.000156512149144032,0.00760173564893231,0.00677350380306219,875,"tags=71%, list=16%, signal=60%","6280/6283/8970/8349/8339/351/5196/6352/8346/5197/2597/3151/85236/567/8344"
"GO:1901652","response to peptide",397,0.32333168960826,1.50552924484664,0.000155506380182484,0.00760173564893231,0.00677350380306219,894,"tags=22%, list=16%, signal=20%","4317/115362/2633/115361/10410/2634/6772/9021/11240/10673/4502/10554/9447/3429/6714/114769/7444/83666/92610/249/9636/29887/5359/1439/54739/3659/837/2635/100133941/8970/4332/3572/22904/351/8519/2207/6773/2643/4938/23765/5371/3717/54502/4783/11213/3554/6403/1432/6774/4940/10581/9341/836/5196/7706/4939/6352/3459/79602/3579/5197/84166/8754/3665/7791/5795/2180/2597/3718/3434/7099/4605/834/6737/7057/10376/3953/7494/3309/3428/5610/2353/3987/1843/3091/10725/57724/5214"
"GO:0042273","ribosomal large subunit biogenesis",22,-0.669930582472047,-2.10757129763316,0.000172365335989354,0.00826707242738938,0.00736635014859764,1573,"tags=77%, list=29%, signal=55%","23195/2971/55003/55153/23560/84549/90441/51504/4869/4931/6838/10412/22907/23481/29997/54680/117246"
"GO:0019827","stem cell population maintenance",87,-0.416834082503445,-1.75534974030791,0.000194981825503333,0.00923636128958383,0.00823003208882167,1624,"tags=49%, list=30%, signal=35%","5108/5977/9314/51742/23160/8289/64426/6944/5926/4781/51593/58516/6597/25942/6599/23318/55274/9646/9274/1656/22882/6598/23137/4609/26354/51123/80306/123169/5978/1499/57721/79595/25855/6602/9079/6497/8451/678/84678/2309/283149/2308/81606"
"GO:0071345","cellular response to cytokine stimulus",346,0.333873910892368,1.5460790258691,0.000207715785169542,0.00971957887433577,0.00866060167176731,924,"tags=23%, list=17%, signal=20%","4317/115362/2633/115361/10410/2634/6772/9021/11240/10673/4502/10554/9447/3429/6714/114769/7444/83666/92610/9636/29887/1439/3659/837/2635/100133941/8970/4332/3572/22904/8519/2207/6773/4938/23765/5371/3717/54502/4783/11213/3554/1432/6774/4940/10581/9341/5196/7706/4939/6352/3459/79602/3579/5197/84166/3665/7791/5795/2180/2597/3718/3434/7099/4605/834/7057/10376/3953/7494/3309/3428/2353/3987/1843/3091/10725/57724/5214/2923/199"
"GO:0001959","regulation of cytokine-mediated signaling pathway",80,0.481873265178388,1.82429508150958,0.00023011629508473,0.0106380267980736,0.00947898194591252,587,"tags=25%, list=11%, signal=23%","4317/11240/10554/114769/7444/83666/9636/837/100133941/8970/3572/6773/4938/54502/11213/3554/4940/6352/84166/3665"
"GO:0141060","disruption of anatomical structure in another organism",24,0.657113918778326,1.93783375023069,0.000239201737408949,0.0107872607437104,0.00961195640661463,768,"tags=50%, list=14%, signal=43%","115362/2633/2634/6283/2635/8970/5196/64581/4069/2597/3151/85236"
"GO:0097530","granulocyte migration",57,0.525853455610206,1.87308055371698,0.000241778583257517,0.0107872607437104,0.00961195640661463,750,"tags=33%, list=14%, signal=29%","6279/6280/6283/2207/83700/23765/90550/3554/5196/6352/10059/3579/5197/5795/23396/5747/9948/57142/7057"
"GO:0002237","response to molecule of bacterial origin",142,0.412474487841406,1.72467321322295,0.000240513014406838,0.0107872607437104,0.00961195640661463,849,"tags=27%, list=16%, signal=23%","4317/115362/6279/2634/4353/6915/6714/114769/249/1439/2635/55122/100133941/22904/654/2643/3717/11213/840/6403/1432/129607/51510/2149/836/5196/7292/5197/8754/7096/4793/7099/834/2879/7494/567/2353/3032"
"GO:0007269","neurotransmitter secretion",42,0.58653462359302,1.96488016932925,0.000257313427488806,0.0112194502417562,0.00999705756559379,702,"tags=38%, list=13%, signal=33%","26509/8291/25953/10497/8676/7439/8775/84446/5663/120892/6809/8773/9885/23396/79772/134957"
"GO:0099643","signal release from synapse",42,0.58653462359302,1.96488016932925,0.000257313427488806,0.0112194502417562,0.00999705756559379,702,"tags=38%, list=13%, signal=33%","26509/8291/25953/10497/8676/7439/8775/84446/5663/120892/6809/8773/9885/23396/79772/134957"
"GO:0006869","lipid transport",128,0.417490085179245,1.71373284298823,0.000268278540076494,0.0114376084252612,0.0101914467622041,975,"tags=34%, list=18%, signal=28%","23780/1191/5321/8714/366/80830/1950/3690/5359/10257/23111/196527/654/81579/26020/6721/23762/23250/55004/27141/25921/55911/57605/10577/9885/1374/5660/2180/4833/23200/10079/58488/55207/5580/7057/55852/5045/80833/10396/57655/3069/706/27166"
"GO:0051336","regulation of hydrolase activity",250,0.359247929653909,1.61414876177564,0.000265328605851294,0.0114376084252612,0.0101914467622041,1045,"tags=30%, list=19%, signal=25%","710/6279/6280/8743/92154/9447/6714/114769/5721/1611/10653/5698/30851/2146/58484/1293/1471/5265/6272/351/4938/489/5592/3688/6774/4940/2149/10049/5696/121512/444/120892/6352/64581/10681/10550/10507/5139/115704/8530/5660/7052/2597/7035/5747/1992/5580/6251/834/55803/7057/26037/1509/5111/3428/9628/5045/64786/808/389/5641/3987/7107/8853/4898/6478/57186/23161/4217/27166/5341/6001/5962/2876/5905"
"GO:0009100","glycoprotein metabolic process",82,0.474050724270245,1.80608448491569,0.000271853424465585,0.0114626548315874,0.0102137642876139,1406,"tags=54%, list=26%, signal=40%","10855/2530/29940/9334/5046/55501/1471/267/4124/55858/23333/23071/9445/4122/11282/2590/5663/5074/4249/100128731/83548/3718/9761/51465/10905/9917/3091/80267/56886/55454/9528/51363/27230/55568/6934/2673/729920/6480/2683/1603/81876/6185/3340/4245"
"GO:0030490","maturation of SSU-rRNA",32,-0.565109794424535,-1.98019584017053,0.000296655362321898,0.0123724633177079,0.0110244464167223,1658,"tags=66%, list=31%, signal=46%","65095/88745/8602/23160/57050/8780/153443/25879/27340/55226/79954/51504/9277/57647/161424/25926/9790/10199/10885/55720/25983"
"GO:0031640","killing of cells of another organism",21,0.683685747946799,1.9472699753194,0.000318429763726185,0.0128612105622881,0.0114599431865113,768,"tags=57%, list=14%, signal=49%","115362/2633/2634/6283/2635/8970/5196/64581/4069/2597/3151/85236"
"GO:0141061","disruption of cell in another organism",21,0.683685747946799,1.9472699753194,0.000318429763726185,0.0128612105622881,0.0114599431865113,768,"tags=57%, list=14%, signal=49%","115362/2633/2634/6283/2635/8970/5196/64581/4069/2597/3151/85236"
"GO:0050832","defense response to fungus",17,0.706717656867973,1.91319076780277,0.000317813046833093,0.0128612105622881,0.0114599431865113,760,"tags=59%, list=14%, signal=51%","6279/6280/4353/6283/26253/351/23765/64581/2597/7040"
"GO:0106027","neuron projection organization",36,0.579655642125714,1.89785657891701,0.000323444688803648,0.0129276799056208,0.0115191704959896,892,"tags=42%, list=16%, signal=35%","4130/1742/10152/8898/351/3480/5663/120892/2017/85358/26037/26052/10611/5641/23613"
"GO:0032611","interleukin-1 beta production",41,0.562824929963611,1.8742244799072,0.000335609109104183,0.0131401239962525,0.0117084681672437,793,"tags=44%, list=15%, signal=38%","115362/9447/114769/3315/58484/24145/351/5371/3717/6774/3098/2149/64581/79792/1992/7099/834/3428"
"GO:0032651","regulation of interleukin-1 beta production",41,0.562824929963611,1.8742244799072,0.000335609109104183,0.0131401239962525,0.0117084681672437,793,"tags=44%, list=15%, signal=38%","115362/9447/114769/3315/58484/24145/351/5371/3717/6774/3098/2149/64581/79792/1992/7099/834/3428"
"GO:0002526","acute inflammatory response",27,0.645002386394858,1.97713620978913,0.000363636678193915,0.0139405226738964,0.0124216610138994,538,"tags=44%, list=10%, signal=40%","2215/23780/5359/3133/5265/196527/3572/2212/2214/11315/3500/7292"
"GO:0002181","cytoplasmic translation",54,-0.476337407305753,-1.86400872172347,0.000366951469914917,0.0139405226738964,0.0124216610138994,1308,"tags=44%, list=24%, signal=34%","1981/3184/170506/1660/3192/1939/4686/8662/8667/1974/85451/51389/8665/1967/51386/8664/51441/27335/8893/1936/10492/10399/22916/8562"
